timestamp,uid,name,temperatureWater,openClosed
2026-07-20 08:59:36,flb6938,Flussbad Au-Höngg,25,offen
2026-07-20 08:59:36,flb6939,Flussbad Oberer Letten,25,offen
2026-07-20 08:59:36,flb6940,Flussbad Unterer Letten,23,offen
2026-07-20 08:59:36,flb8803,Flussbad Unterer Letten,25,offen
2026-07-20 08:59:36,flb6941,Frauenbad Stadthausquai,24,offen
2026-07-20 08:59:36,fb006,Freibad Allenmoos,25,offen
2026-07-20 08:59:36,fb008,Freibad Auhof,25,geschlossen
2026-07-20 08:59:36,fb016,Freibad Dolder,24,geschlossen
2026-07-20 08:59:36,fb012,Freibad Heuried,23,geschlossen
2026-07-20 08:59:36,fb002,Freibad Letzigraben,24,offen
2026-07-20 08:59:36,fb013,Freibad Seebach,23,offen
2026-07-20 08:59:36,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-20 08:59:36,flb6942,Männerbad Schanzengraben,26,offen
2026-07-20 08:59:36,seb6943,Seebad Enge,26,offen
2026-07-20 08:59:36,seb6945,Seebad Utoquai,24,offen
2026-07-20 08:59:36,seb6946,Strandbad Mythenquai,26,offen
2026-07-20 08:59:36,seb6947,Strandbad Tiefenbrunnen,26,geschlossen
2026-07-20 08:59:36,seb6948,Strandbad Wollishofen,26,geschlossen
2026-07-20 09:14:18,flb6938,Flussbad Au-Höngg,25,offen
2026-07-20 09:14:18,flb6939,Flussbad Oberer Letten,25,offen
2026-07-20 09:14:18,flb6940,Flussbad Unterer Letten,23,offen
2026-07-20 09:14:18,flb8803,Flussbad Unterer Letten,25,offen
2026-07-20 09:14:18,flb6941,Frauenbad Stadthausquai,24,offen
2026-07-20 09:14:18,fb006,Freibad Allenmoos,25,offen
2026-07-20 09:14:18,fb008,Freibad Auhof,24,offen
2026-07-20 09:14:18,fb016,Freibad Dolder,24,geschlossen
2026-07-20 09:14:18,fb012,Freibad Heuried,23,offen
2026-07-20 09:14:18,fb002,Freibad Letzigraben,24,offen
2026-07-20 09:14:18,fb013,Freibad Seebach,23,offen
2026-07-20 09:14:18,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-20 09:14:18,flb6942,Männerbad Schanzengraben,26,offen
2026-07-20 09:14:18,seb6943,Seebad Enge,26,offen
2026-07-20 09:14:18,seb6945,Seebad Utoquai,24,offen
2026-07-20 09:14:18,seb6946,Strandbad Mythenquai,26,offen
2026-07-20 09:14:18,seb6947,Strandbad Tiefenbrunnen,26,geschlossen
2026-07-20 09:14:18,seb6948,Strandbad Wollishofen,26,offen
2026-07-20 09:15:06,flb6938,Flussbad Au-Höngg,25,offen
2026-07-20 09:15:06,flb6939,Flussbad Oberer Letten,25,offen
2026-07-20 09:15:06,flb6940,Flussbad Unterer Letten,23,offen
2026-07-20 09:15:06,flb8803,Flussbad Unterer Letten,25,offen
2026-07-20 09:15:06,flb6941,Frauenbad Stadthausquai,24,offen
2026-07-20 09:15:06,fb006,Freibad Allenmoos,25,offen
2026-07-20 09:15:06,fb008,Freibad Auhof,24,offen
2026-07-20 09:15:06,fb016,Freibad Dolder,24,geschlossen
2026-07-20 09:15:06,fb012,Freibad Heuried,23,offen
2026-07-20 09:15:06,fb002,Freibad Letzigraben,24,offen
2026-07-20 09:15:06,fb013,Freibad Seebach,23,offen
2026-07-20 09:15:06,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-20 09:15:06,flb6942,Männerbad Schanzengraben,26,offen
2026-07-20 09:15:06,seb6943,Seebad Enge,26,offen
2026-07-20 09:15:06,seb6945,Seebad Utoquai,24,offen
2026-07-20 09:15:06,seb6946,Strandbad Mythenquai,26,offen
2026-07-20 09:15:06,seb6947,Strandbad Tiefenbrunnen,26,geschlossen
2026-07-20 09:15:06,seb6948,Strandbad Wollishofen,26,offen
2026-07-20 09:29:23,flb6938,Flussbad Au-Höngg,25,offen
2026-07-20 09:29:23,flb6939,Flussbad Oberer Letten,25,offen
2026-07-20 09:29:23,flb6940,Flussbad Unterer Letten,23,offen
2026-07-20 09:29:23,flb8803,Flussbad Unterer Letten,25,offen
2026-07-20 09:29:23,flb6941,Frauenbad Stadthausquai,24,offen
2026-07-20 09:29:23,fb006,Freibad Allenmoos,25,offen
2026-07-20 09:29:23,fb008,Freibad Auhof,24,offen
2026-07-20 09:29:23,fb016,Freibad Dolder,24,geschlossen
2026-07-20 09:29:23,fb012,Freibad Heuried,23,offen
2026-07-20 09:29:23,fb002,Freibad Letzigraben,24,offen
2026-07-20 09:29:23,fb013,Freibad Seebach,23,offen
2026-07-20 09:29:23,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-20 09:29:23,flb6942,Männerbad Schanzengraben,26,offen
2026-07-20 09:29:23,seb6943,Seebad Enge,26,offen
2026-07-20 09:29:23,seb6945,Seebad Utoquai,24,offen
2026-07-20 09:29:23,seb6946,Strandbad Mythenquai,26,offen
2026-07-20 09:29:23,seb6947,Strandbad Tiefenbrunnen,26,geschlossen
2026-07-20 09:29:23,seb6948,Strandbad Wollishofen,26,offen
2026-07-20 09:30:04,flb6938,Flussbad Au-Höngg,25,offen
2026-07-20 09:30:04,flb6939,Flussbad Oberer Letten,25,offen
2026-07-20 09:30:04,flb6940,Flussbad Unterer Letten,23,offen
2026-07-20 09:30:04,flb8803,Flussbad Unterer Letten,25,offen
2026-07-20 09:30:04,flb6941,Frauenbad Stadthausquai,24,offen
2026-07-20 09:30:04,fb006,Freibad Allenmoos,25,offen
2026-07-20 09:30:04,fb008,Freibad Auhof,24,offen
2026-07-20 09:30:04,fb016,Freibad Dolder,24,geschlossen
2026-07-20 09:30:04,fb012,Freibad Heuried,23,offen
2026-07-20 09:30:04,fb002,Freibad Letzigraben,24,offen
2026-07-20 09:30:04,fb013,Freibad Seebach,23,offen
2026-07-20 09:30:04,fb018,Freibad Zwischen den Hölzern,24,offen
2026-07-20 09:30:04,flb6942,Männerbad Schanzengraben,26,offen
2026-07-20 09:30:04,seb6943,Seebad Enge,26,offen
2026-07-20 09:30:04,seb6945,Seebad Utoquai,24,offen
