timestamp,uid,name,temperatureWater,openClosed
2026-08-24 06:45:05,flb6938,Flussbad Au-Höngg,24,geschlossen
2026-08-24 06:45:05,flb6939,Flussbad Oberer Letten,24,geschlossen
2026-08-24 06:45:05,flb6940,Flussbad Unterer Letten,22,geschlossen
2026-08-24 06:45:05,flb8803,Flussbad Unterer Letten,23,geschlossen
2026-08-24 06:45:05,flb6941,Frauenbad Stadthausquai,24,geschlossen
2026-08-24 06:45:05,fb006,Freibad Allenmoos,23,geschlossen
2026-08-24 06:45:05,fb008,Freibad Auhof,26,geschlossen
2026-08-24 06:45:05,fb016,Freibad Dolder,22,geschlossen
2026-08-24 06:45:05,fb012,Freibad Heuried,22,geschlossen
2026-08-24 06:45:05,fb002,Freibad Letzigraben,23,geschlossen
2026-08-24 06:45:05,fb013,Freibad Seebach,24,geschlossen
2026-08-24 06:45:05,fb018,Freibad Zwischen den Hölzern,22,geschlossen
2026-08-24 06:45:05,flb6942,Männerbad Schanzengraben,25,offen
2026-08-24 06:45:05,seb6943,Seebad Enge,25,geschlossen
2026-08-24 06:45:05,seb6945,Seebad Utoquai,23,geschlossen
2026-08-24 06:45:05,seb6946,Strandbad Mythenquai,25,geschlossen
2026-08-24 06:45:05,seb6947,Strandbad Tiefenbrunnen,25,geschlossen
2026-08-24 06:45:05,seb6948,Strandbad Wollishofen,25,offen
2026-08-24 06:59:26,flb6938,Flussbad Au-Höngg,24,geschlossen
2026-08-24 06:59:26,flb6939,Flussbad Oberer Letten,24,geschlossen
2026-08-24 06:59:26,flb6940,Flussbad Unterer Letten,22,geschlossen
2026-08-24 06:59:26,flb8803,Flussbad Unterer Letten,23,geschlossen
2026-08-24 06:59:26,flb6941,Frauenbad Stadthausquai,22,offen
2026-08-24 06:59:26,fb006,Freibad Allenmoos,23,geschlossen
2026-08-24 06:59:26,fb008,Freibad Auhof,26,geschlossen
2026-08-24 06:59:26,fb016,Freibad Dolder,22,geschlossen
2026-08-24 06:59:26,fb012,Freibad Heuried,22,geschlossen
2026-08-24 06:59:26,fb002,Freibad Letzigraben,23,offen
2026-08-24 06:59:26,fb013,Freibad Seebach,23,offen
2026-08-24 06:59:26,fb018,Freibad Zwischen den Hölzern,22,geschlossen
2026-08-24 06:59:26,flb6942,Männerbad Schanzengraben,25,offen
2026-08-24 06:59:26,seb6943,Seebad Enge,25,geschlossen
2026-08-24 06:59:26,seb6945,Seebad Utoquai,23,geschlossen
2026-08-24 06:59:26,seb6946,Strandbad Mythenquai,25,offen
2026-08-24 06:59:26,seb6947,Strandbad Tiefenbrunnen,25,geschlossen
2026-08-24 06:59:26,seb6948,Strandbad Wollishofen,25,offen
2026-08-24 07:00:07,flb6938,Flussbad Au-Höngg,24,geschlossen
2026-08-24 07:00:07,flb6939,Flussbad Oberer Letten,24,geschlossen
2026-08-24 07:00:07,flb6940,Flussbad Unterer Letten,22,geschlossen
2026-08-24 07:00:07,flb8803,Flussbad Unterer Letten,23,geschlossen
2026-08-24 07:00:07,flb6941,Frauenbad Stadthausquai,22,offen
2026-08-24 07:00:07,fb006,Freibad Allenmoos,23,geschlossen
2026-08-24 07:00:07,fb008,Freibad Auhof,26,geschlossen
2026-08-24 07:00:07,fb016,Freibad Dolder,22,geschlossen
2026-08-24 07:00:07,fb012,Freibad Heuried,22,geschlossen
2026-08-24 07:00:07,fb002,Freibad Letzigraben,23,offen
2026-08-24 07:00:07,fb013,Freibad Seebach,23,offen
2026-08-24 07:00:07,fb018,Freibad Zwischen den Hölzern,22,geschlossen
2026-08-24 07:00:07,flb6942,Männerbad Schanzengraben,25,offen
2026-08-24 07:00:07,seb6943,Seebad Enge,25,geschlossen
2026-08-24 07:00:07,seb6945,Seebad Utoquai,23,geschlossen
2026-08-24 07:00:07,seb6946,Strandbad Mythenquai,25,offen
2026-08-24 07:00:07,seb6947,Strandbad Tiefenbrunnen,25,geschlossen
2026-08-24 07:00:07,seb6948,Strandbad Wollishofen,25,offen
2026-08-24 07:14:23,flb6938,Flussbad Au-Höngg,24,geschlossen
2026-08-24 07:14:23,flb6939,Flussbad Oberer Letten,24,geschlossen
2026-08-24 07:14:23,flb6940,Flussbad Unterer Letten,22,geschlossen
2026-08-24 07:14:23,flb8803,Flussbad Unterer Letten,23,geschlossen
2026-08-24 07:14:23,flb6941,Frauenbad Stadthausquai,22,offen
2026-08-24 07:14:23,fb006,Freibad Allenmoos,23,geschlossen
2026-08-24 07:14:23,fb008,Freibad Auhof,26,geschlossen
2026-08-24 07:14:23,fb016,Freibad Dolder,22,geschlossen
2026-08-24 07:14:23,fb012,Freibad Heuried,22,geschlossen
2026-08-24 07:14:23,fb002,Freibad Letzigraben,23,offen
2026-08-24 07:14:23,fb013,Freibad Seebach,23,offen
2026-08-24 07:14:23,fb018,Freibad Zwischen den Hölzern,22,geschlossen
2026-08-24 07:14:23,flb6942,Männerbad Schanzengraben,25,offen
2026-08-24 07:14:23,seb6943,Seebad Enge,25,geschlossen
2026-08-24 07:14:23,seb6945,Seebad Utoquai,23,offen
2026-08-24 07:14:23,seb6946,Strandbad Mythenquai,25,offen
2026-08-24 07:14:23,seb6947,Strandbad Tiefenbrunnen,25,geschlossen
2026-08-24 07:14:23,seb6948,Strandbad Wollishofen,25,offen
2026-08-24 07:15:05,flb6938,Flussbad Au-Höngg,24,geschlossen
2026-08-24 07:15:05,flb6939,Flussbad Oberer Letten,24,geschlossen
2026-08-24 07:15:05,flb6940,Flussbad Unterer Letten,22,geschlossen
2026-08-24 07:15:05,flb8803,Flussbad Unterer Letten,23,geschlossen
2026-08-24 07:15:05,flb6941,Frauenbad Stadthausquai,22,offen
2026-08-24 07:15:05,fb006,Freibad Allenmoos,23,geschlossen
2026-08-24 07:15:05,fb008,Freibad Auhof,26,geschlossen
2026-08-24 07:15:05,fb016,Freibad Dolder,22,geschlossen
2026-08-24 07:15:05,fb012,Freibad Heuried,22,geschlossen
2026-08-24 07:15:05,fb002,Freibad Letzigraben,23,offen
2026-08-24 07:15:05,fb013,Freibad Seebach,23,offen
2026-08-24 07:15:05,fb018,Freibad Zwischen den Hölzern,22,geschlossen
2026-08-24 07:15:05,flb6942,Männerbad Schanzengraben,25,offen
2026-08-24 07:15:05,seb6943,Seebad Enge,25,geschlossen
2026-08-24 07:15:05,seb6945,Seebad Utoquai,23,offen
2026-08-24 07:15:05,seb6946,Strandbad Mythenquai,25,offen
2026-08-24 07:15:05,seb6947,Strandbad Tiefenbrunnen,25,geschlossen
2026-08-24 07:15:05,seb6948,Strandbad Wollishofen,25,offen
2026-08-24 07:29:25,flb6938,Flussbad Au-Höngg,24,geschlossen
2026-08-24 07:29:25,flb6939,Flussbad Oberer Letten,24,geschlossen
2026-08-24 07:29:25,flb6940,Flussbad Unterer Letten,22,geschlossen
